Position,Const,Created,Modified,Description,Name,Known For,Birth Date
485,nm0000802,2014-03-10,2014-03-10,,"Mary Astor","The Maltese Falcon","3 de mayo de 1906"
486,nm0002034,2014-03-10,2014-03-10,,"Jane Darwell","The Grapes of Wrath","15 de octubre de 1879"
487,nm2539953,2016-06-18,2016-06-18,,"Alicia Vikander","Ex Machina","3 de octubre de 1988"
488,nm1985859,2014-03-10,2014-03-10,,"Mia Wasikowska","Alice in Wonderland","25 de octubre de 1989"
489,nm1113550,2014-03-10,2014-03-10,,"Abigail Breslin","Little Miss Sunshine","14 de abril de 1996"
490,nm0814216,2014-03-10,2014-03-10,,"Gale Sondergaard","The Mark of Zorro","15 de febrero de 1899"
491,nm0565250,2014-03-10,2014-03-10,,"Melissa McCarthy","The Heat","26 de agosto de 1970"
492,nm0275486,2014-03-10,2014-03-10,,"Tina Fey","Date Night","18 de mayo de 1970"
493,nm0757855,2014-03-10,2014-03-10,,"Zoe Saldaña","Avatar","19 de junio de 1978"
494,nm0005253,2014-03-10,2014-03-10,,"Elisabeth Moss","The Invisible Man","24 de julio de 1982"
495,nm1597316,2014-03-10,2014-03-10,,"Adrianne Palicki","G.I. Joe: Retaliation","6 de mayo de 1983"
496,nm0004950,2014-03-10,2014-03-10,,"Jennifer Garner","Alias","17 de abril de 1972"
497,nm1325419,2014-03-10,2014-03-10,,"Kristen Wiig","Bridesmaids","22 de agosto de 1973"
498,nm0820053,2014-03-10,2014-03-10,,"June Squibb","Nebraska","6 de noviembre de 1929"
499,nm1020089,2014-03-10,2014-03-10,,"Sally Hawkins","The Shape of Water","27 de abril de 1976"
500,nm0192505,2014-03-10,2014-03-10,,"Kaley Cuoco","The Big Bang Theory","30 de noviembre de 1985"
501,nm0915208,2014-03-10,2014-03-10,,"Naomi Watts","Mulholland Dr.","28 de septiembre de 1968"
502,nm1500155,2019-03-19,2019-03-19,,"Robert Pattinson","Twilight","13 de mayo de 1986"
503,nm0402271,2014-03-10,2014-03-10,,"Charlie Hunnam","Sons of Anarchy","10 de abril de 1980"
504,nm0396558,2014-03-10,2014-03-10,,"Nicholas Hoult","About a Boy","7 de diciembre de 1989"
505,nm1093951,2014-03-10,2014-03-10,,"Aaron Taylor-Johnson","Nocturnal Animals","13 de junio de 1990"
506,nm0186505,2014-03-10,2014-03-10,,"Bryan Cranston","Breaking Bad","7 de marzo de 1956"
507,nm0124930,2014-03-10,2014-03-10,,"Gerard Butler","300","13 de noviembre de 1969"
508,nm0908094,2014-03-10,2014-03-10,,"Paul Walker","The Fast and the Furious","12 de septiembre de 1973"
509,nm0881631,2014-03-10,2014-03-10,,"Karl Urban","Star Trek","7 de junio de 1972"
510,nm0503567,2014-03-10,2014-03-10,,"Logan Lerman","The Perks of Being a Wallflower","19 de enero de 1992"
511,nm2002649,2014-03-10,2014-03-10,,"Dave Franco","Neighbors","12 de junio de 1985"
512,nm1089991,2014-03-10,2014-03-10,,"Tom Hiddleston","The Avengers","9 de febrero de 1981"
513,nm0227759,2014-03-10,2014-03-10,,"Peter Dinklage","Game of Thrones","11 de junio de 1969"
514,nm2018237,2014-03-10,2014-03-10,,"Taylor Kitsch","X-Men Origins: Wolverine","8 de abril de 1981"
515,nm0001570,2019-04-12,2019-04-12,,"Edward Norton","Fight Club","18 de agosto de 1969"
516,nm0001602,2014-03-10,2014-03-10,,"Guy Pearce","Memento","5 de octubre de 1967"
517,nm0749263,2014-03-10,2014-03-10,,"Mark Ruffalo","Spotlight","22 de noviembre de 1967"
518,nm0000620,2014-03-10,2014-03-10,,"Mickey Rourke","Sin City","16 de septiembre de 1952"
519,nm0001449,2014-03-10,2014-03-10,,"Frank Langella","Frost/Nixon","1 de enero de 1938"
520,nm1519666,2015-03-08,2015-03-08,,"Eddie Redmayne","Les Misérables","6 de enero de 1982"
521,nm0000657,2014-03-10,2014-03-10,,"David Strathairn","Good Night, and Good Luck.","26 de enero de 1949"
522,nm0005024,2014-03-10,2014-03-10,,"Terrence Howard","Crash","11 de marzo de 1969"
523,nm0000146,2014-03-09,2014-03-09,,"Ralph Fiennes","The Constant Gardener","22 de diciembre de 1962"
524,nm0929489,2014-03-10,2014-03-10,,"Tom Wilkinson","Michael Clayton","5 de febrero de 1948"
525,nm0002070,2014-03-10,2014-03-10,,"Richard Farnsworth","The Straight Story","1 de septiembre de 1920"
526,nm0000560,2014-03-10,2014-03-10,,"Nick Nolte","Warrior","8 de febrero de 1941"
527,nm1455681,2014-03-10,2014-03-10,,"AnnaSophia Robb","Rebel Ridge","8 de diciembre de 1993"
528,nm2605345,2014-03-10,2014-03-10,,"Gemma Arterton","Prince of Persia: The Sands of Time","2 de febrero de 1986"
529,nm1312575,2014-03-10,2014-03-10,,"Olivia Wilde","Don't Worry Darling","10 de marzo de 1984"
530,nm0279545,2014-03-10,2014-03-10,,"Isla Fisher","Wedding Crashers","3 de febrero de 1976"
531,nm0940362,2014-03-10,2014-03-10,,"Shailene Woodley","Divergent","15 de noviembre de 1991"
532,nm2313103,2014-03-10,2014-03-10,,"Rebel Wilson","Senior Year","2 de marzo"
533,nm0731075,2014-03-10,2014-03-10,,"Emma Roberts","We're the Millers","10 de febrero de 1991"
534,nm1720028,2014-03-10,2014-03-10,,"Amber Heard","Aquaman","22 de abril de 1986"
535,nm1954240,2014-03-10,2014-03-10,,"Teresa Palmer","Warm Bodies","26 de febrero de 1986"
536,nm1519680,2014-03-10,2014-03-10,,"Saoirse Ronan","Hanna","12 de abril de 1994"
537,nm0006969,2014-03-10,2014-03-10,,"Elizabeth Banks","The Hunger Games","10 de febrero de 1974"
538,nm0526946,2017-09-16,2017-09-16,,"Ida Lupino","High Sierra","4 de febrero de 1918"
539,nm1754059,2014-03-10,2014-03-10,,"Natalie Dormer","Game of Thrones","11 de febrero de 1982"
540,nm0811242,2014-03-10,2014-03-10,,"Brittany Snow","Pitch Perfect","9 de marzo de 1986"
541,nm0544718,2014-03-10,2014-03-10,,"Kate Mara","Fantastic Four","27 de febrero de 1983"
542,nm2584600,2014-03-10,2014-03-10,,"Julianne Hough","Rock of Ages","20 de julio de 1988"
543,nm2934314,2014-03-10,2014-03-10,,"Lily Collins","The Mortal Instruments: City of Bones","18 de marzo de 1989"
544,nm1130627,2014-03-10,2014-03-10,,"Cobie Smulders","The Avengers","3 de abril de 1982"
545,nm1404408,2014-03-10,2014-03-10,,"Alice Eve","Before We Go","6 de febrero de 1982"
546,nm1512166,2014-03-10,2014-03-10,,"Jamie Chung","Big Hero 6","10 de abril de 1983"
547,nm0636426,2014-03-10,2014-03-10,,"Noomi Rapace","Män som hatar kvinnor","28 de diciembre de 1979"
548,nm0515116,2014-03-10,2014-03-10,,"Blake Lively","Gossip Girl","25 de agosto de 1987"
549,nm1192254,2014-03-10,2014-03-10,,"Maggie Grace","Taken","21 de septiembre de 1983"
550,nm0004754,2014-03-10,2014-03-10,,"Jessica Biel","The Illusionist","3 de marzo de 1982"
551,nm1200692,2014-03-10,2014-03-10,,"Eva Green","Casino Royale","6 de julio de 1980"
552,nm0001228,2014-03-10,2014-03-10,,"Peter Fonda","Easy Rider","23 de febrero de 1940"
553,nm0000437,2014-03-10,2014-03-10,,"Woody Harrelson","True Detective","23 de julio de 1961"
554,nm0000671,2014-03-10,2014-03-10,,"Billy Bob Thornton","Sling Blade","4 de agosto de 1955"
555,nm0252961,2014-03-10,2014-03-10,,"Idris Elba","Beasts of No Nation","6 de septiembre de 1972"
556,nm0001329,2014-03-10,2014-03-10,,"Nigel Hawthorne","The Madness of King George","5 de abril de 1929"
557,nm0000401,2014-03-10,2014-03-10,,"Laurence Fishburne","The Matrix","30 de julio de 1961"
558,nm0001653,2014-03-10,2014-03-10,,"Stephen Rea","The Crying Game","31 de octubre de 1946"
559,nm0000886,2014-03-10,2014-03-10,,"Warren Beatty","Heaven Can Wait","30 de marzo de 1937"
560,nm0001321,2014-03-10,2014-03-10,,"Richard Harris","Gladiator","1 de octubre de 1930"
561,nm0000131,2014-03-09,2014-03-09,,"John Cusack","Grosse Pointe Blank","28 de junio de 1966"
562,nm0000110,2014-03-10,2014-03-10,,"Kenneth Branagh","Henry V","10 de diciembre de 1960"
563,nm0001579,2014-03-10,2014-03-10,,"Edward James Olmos","Battlestar Galactica","24 de febrero de 1947"
564,nm0001884,2014-03-10,2014-03-10,,"Max von Sydow","Flash Gordon","10 de abril de 1929"
565,nm0001136,2015-04-03,2015-04-03,,"Bruce Dern","Nebraska","4 de junio de 1936"
566,nm0001364,2014-03-10,2014-03-10,,"Bob Hoskins","The Long Good Friday","26 de octubre de 1942"
567,nm0000249,2014-03-10,2014-03-10,,"James Woods","Vampires","18 de abril de 1947"
568,nm0370035,2014-03-10,2014-03-10,,"John Hawkes","The Sessions","11 de septiembre de 1959"
569,nm0001258,2014-03-10,2014-03-10,,"James Garner","The Notebook","7 de abril de 1928"
570,nm0001832,2014-03-10,2014-03-10,,"Sam Waterston","The Killing Fields","15 de noviembre de 1940"
571,nm0001371,2014-03-10,2014-03-10,,"Tom Hulce","Amadeus","6 de diciembre de 1953"
572,nm0001215,2014-03-10,2014-03-10,,"Albert Finney","Murder on the Orient Express","9 de mayo de 1936"
573,nm0002018,2014-03-10,2014-03-10,,"Tom Conti","Oppenheimer","22 de noviembre de 1941"
574,nm0183822,2014-03-10,2014-03-10,,"Tom Courtenay","45 Years","25 de febrero de 1937"
575,nm0001545,2014-03-10,2014-03-10,,"Dudley Moore","Arthur","19 de abril de 1935"
576,nm0000457,2014-03-10,2014-03-10,,"John Hurt","Nineteen Eighty-Four","22 de enero de 1940"
577,nm0993507,2014-03-10,2014-03-10,,"Kat Dennings","Nick and Norah's Infinite Playlist","13 de junio de 1986"
578,nm1231899,2017-09-16,2017-09-16,,"Priyanka Chopra Jonas","Barfi!","18 de julio de 1982"
579,nm0728938,2014-03-10,2014-03-10,,"Emmanuelle Riva","Amour","24 de febrero de 1927"
580,nm1950086,2014-03-10,2014-03-10,,"Greta Gerwig","Barbie","4 de agosto de 1983"
581,nm0488953,2014-03-10,2014-03-10,,"Brie Larson","Room","1 de octubre de 1989"
582,nm1140300,2014-03-10,2014-03-10,,"Jessica Lucas","The Covenant","24 de septiembre de 1985"
583,nm0266029,2014-03-10,2014-03-10,,"Maria Falconetti","La passion de Jeanne d'Arc","21 de julio de 1892"
584,nm0002093,2014-03-09,2014-03-09,,"Greer Garson","Pride and Prejudice","29 de septiembre de 1904"
585,nm0751426,2014-03-10,2014-03-10,,"Rosalind Russell","His Girl Friday","4 de junio de 1907"
586,nm0000079,2014-03-09,2014-03-09,,"Raquel Welch","The Three Musketeers","5 de septiembre de 1940"
587,nm0000400,2014-03-10,2014-03-10,,"Linda Fiorentino","The Last Seduction","9 de marzo de 1958"
588,nm2829737,2014-03-10,2014-03-10,,"Gabourey Sidibe","Precious","6 de mayo de 1983"
589,nm0001114,2014-03-09,2014-03-09,,"Judy Davis","Husbands and Wives","23 de abril de 1955"
590,nm0001201,2014-03-10,2014-03-10,,"Mia Farrow","Rosemary's Baby","9 de febrero de 1945"
591,nm0851582,2014-03-10,2014-03-10,,"Audrey Tautou","Le fabuleux destin d'Amélie Poulain","9 de agosto de 1976"
592,nm0603402,2014-03-10,2014-03-10,,"Jeanne Moreau","Jules et Jim","23 de enero de 1928"
593,nm0943837,2014-03-09,2014-03-09,,"Jane Wyman","Stage Fright","5 de enero de 1917"
594,nm0001687,2014-03-10,2014-03-10,,"Gena Rowlands","The Notebook","19 de junio de 1930"
595,nm0544334,2014-03-10,2014-03-10,,"Lesley Manville","Another Year","12 de marzo de 1956"
596,nm0647634,2014-03-10,2014-03-10,,"Elizabeth Olsen","Martha Marcy May Marlene","16 de febrero de 1989"
597,nm0000176,2014-03-10,2014-03-10,,"Nastassja Kinski","Tess","24 de enero de 1961"
598,nm0491259,2014-03-10,2014-03-10,,"Mélanie Laurent","Inglourious Basterds","21 de febrero de 1983"
599,nm0001365,2014-03-10,2014-03-10,,"Whitney Houston","The Bodyguard","9 de agosto de 1963"
600,nm0005031,2014-03-10,2014-03-10,,"Felicity Huffman","Transamerica","9 de diciembre de 1962"
601,nm0001767,2014-03-10,2014-03-10,,"Imelda Staunton","Vera Drake","9 de enero de 1956"
602,nm1209966,2014-03-10,2014-03-10,,"Oscar Isaac","Ex Machina","9 de marzo de 1979"
603,nm1417647,2014-03-10,2014-03-10,,"Jon Heder","Napoleon Dynamite","26 de octubre de 1977"
604,nm1886602,2014-03-10,2014-03-10,,"Miles Teller","Whiplash","20 de febrero de 1987"
605,nm0117709,2014-03-10,2014-03-10,,"Daniel Brühl","Inglourious Basterds","16 de junio de 1978"
606,nm0001254,2014-03-10,2014-03-10,,"James Gandolfini","The Sopranos","18 de septiembre de 1961"
