Position,Const,Created,Modified,Description,Name,Known For,Birth Date
22,nm0004778,2018-01-31,2018-05-09,"2002. EL PIANISTA DIR. ROMAN POLANSKI 1 NOMINACIÓN 1 GANADO","Adrien Brody","The Pianist","14 de abril de 1973"
23,nm0000243,2018-01-31,2022-02-08,"2001. DÍA DE ENTRENAMIENTO DIR. ANTOINE FUQUA 9 NOMINACIONES 2 GANADO","Denzel Washington","Fences","28 de diciembre de 1954"
24,nm0000128,2018-01-31,2018-05-09,"2000. GLADIADOR DIR. RIDLEY SCOTT 3 NOMINACIONES 1 GANADO","Russell Crowe","Les Misérables","7 de abril de 1964"
25,nm0000228,2018-01-31,2018-05-09,"1999. AMERICAN BEAUTY DIR. SAM MENDES 2 NOMINACIONES 2 GANADO","Kevin Spacey","L.A. Confidential","26 de julio de 1959"
26,nm0000905,2018-01-31,2018-05-09,"1998. LA VIDA ES BELLA DIR. ROBERTO BENIGNI 1 NOMINACIÓN 1 GANADO","Roberto Benigni","La vita è bella","27 de octubre de 1952"
27,nm0000197,2018-01-31,2018-05-09,"1997. MEJOR... IMPOSIBLE DIR. JAMES L. BROOKS 12 NOMINACIONES 3 GANADO","Jack Nicholson","Chinatown","22 de abril de 1937"
28,nm0001691,2018-01-31,2018-05-09,"1996. SHINE DIR. SCOTT HICKS 4 NOMINACIONES 1 GANADO","Geoffrey Rush","The King's Speech","6 de julio de 1951"
29,nm0000115,2018-01-31,2018-05-09,"1995. ADIÓS A LAS VEGAS DIR. MIKE FIGGIS 2 NOMINACIONES 1 GANADO","Nicolas Cage","Face/Off","7 de enero de 1964"
30,nm0000158,2018-01-31,2020-01-13,"1994. FORREST GUMP DIR. ROBERT ZEMECKIS 6 NOMINACIONES 2 GANADO","Tom Hanks","Cast Away","9 de julio de 1956"
31,nm0000158,2018-01-31,2020-01-13,"1993. PHILADELPHIA DIR. JONATHAN DEMME 6 NOMINACIONES 2 GANADO","Tom Hanks","Cast Away","9 de julio de 1956"
32,nm0000199,2018-01-31,2020-01-13,"1992. ESENCIA DE MUJER DIR. MARTIN BREST 9 NOMINACIONES 1 GANADO","Al Pacino","Serpico","25 de abril de 1940"
33,nm0000164,2018-01-31,2021-04-26,"1991. EL SILENCIO DE LOS INOCENTES DIR. JONATHAN DEMME 6 NOMINACIONES 2 GANADO","Anthony Hopkins","The Silence of the Lambs","31 de diciembre de 1937"
34,nm0000460,2018-01-31,2018-05-09,"1990. EL MISTERIO DE VON BÜLOW DIR. BARBET SCHROEDER 1 NOMINACIÓN 1 GANADO","Jeremy Irons","Dead Ringers","19 de septiembre de 1948"
35,nm0000358,2018-01-31,2018-05-11,"1989. MI PIE IZQUIERDO DIR. JIM SHERIDAN 6 NOMINACIONES 3 GANADO","Daniel Day-Lewis","There Will Be Blood","29 de abril de 1957"
36,nm0000163,2018-01-31,2018-05-11,"1988. CUANDO LOS HERMANOS SE ENCUENTRAN DIR. BARRY LEVINSON 7 NOMINACIONES 2 GANADO","Dustin Hoffman","Tootsie","8 de agosto de 1937"
37,nm0000140,2018-01-31,2018-05-11,"1987.WALL STREET. EL PODER Y LA AVARICIA DIR OLIVER STONE 1 NOMINACIÓN 1 GANADO","Michael Douglas","Wall Street","25 de septiembre de 1944"
38,nm0000056,2018-01-31,2018-05-11,"1986. EL COLOR DEL DINERO DIR. MARTIN SCORSESE 9 NOMINACIONES 1 GANADO","Paul Newman","The Hustler","26 de enero de 1925"
39,nm0000458,2018-01-31,2018-05-11,"1985. EL BESO DE LA MUJER ARAÑA DIR. HÉCTOR BABENCO 4 NOMINACIONES 1 GANADO","William Hurt","A History of Violence","20 de marzo de 1950"
40,nm0000719,2018-01-31,2018-05-11,"1984. AMADEUS DIR. MILOS FORMAN 1 NOMINACIÓN 1 GANADO","F. Murray Abraham","The Grand Budapest Hotel","24 de octubre de 1939"
41,nm0000380,2018-01-31,2018-05-11,"1983. GRACIAS Y FAVORES DIR. BRUCE BERESFORD 7 NOMINACIONES 1 GANADO","Robert Duvall","The Apostle","5 de enero de 1931"
42,nm0001426,2018-01-31,2018-05-11,"1982. GANDHI DIR. RICHARD ATTENBOROUGH 4 NOMINACIONES 1 GANADI","Ben Kingsley","Sexy Beast","31 de diciembre de 1943"
43,nm0000020,2018-01-31,2018-05-11,"1981. EN EL ESTANQUE DORADO DIR. MARK RYDELL 2 NOMINACIONES 1 GANADO","Henry Fonda","12 Angry Men","16 de mayo de 1905"
44,nm0000134,2018-01-31,2024-01-23,"1980. TORO SALVAJE DIR. MARTIN SCORSESE 8 NOMINACIONES 2 GANADO","Robert De Niro","Cape Fear","17 de agosto de 1943"
45,nm0000163,2018-01-31,2018-05-11,"1978. KRAMER CONTRA KRAMER DIR. ROBERT BENTON 7 NOMINACIONES 2 GANADO","Dustin Hoffman","Tootsie","8 de agosto de 1937"
46,nm0000685,2018-01-31,2018-05-11,"1978. EL REGRESO DIR. HAL ASHBY 4 NOMINACIONES 1 GANADO","Jon Voight","Midnight Cowboy","29 de diciembre de 1938"
47,nm0000377,2018-01-31,2018-05-11,"1977. LA CHICA DEL ADIÓS DIR. HERBERT ROSS 2 NOMINACIONES 1 GANADO","Richard Dreyfuss","The Goodbye Girl","29 de octubre de 1947"
48,nm0002075,2018-01-31,2018-05-11,"1976. NETWORK. UN MUNDO IMPLACABLE DIR. SIDNEY LUMET 2 NOMINACIONES 1 GANADO","Peter Finch","Network","28 de septiembre de 1916"
