year_film,year_ceremony,category,name,film,winner,Taquilla,Año Ceremonia,Edad_cris,Raza_cris,Nacionalidad_cris
1953,1954,ACTOR,Burt Lancaster,From Here to Eternity,False,,1959.0,46.0,Blanca,Estados Unidos
1954,1955,ACTOR,Humphrey Bogart,The Caine Mutiny,False,,1951.0,54.0,Blanca,Estados Unidos
1954,1955,ACTOR,Marlon Brando,On the Waterfront,True,,1953.0,30.0,Blanca,Rusia
1954,1955,ACTOR,Marlon Brando,On the Waterfront,True,,1071.0,48.0,Blanca,Estados Unidos
1954,1955,ACTOR,Bing Crosby,The Country Girl,False,,1944.0,41.0,Blanca,Reino Unido
1954,1955,ACTOR,James Mason,A Star Is Born,False,,,,,
1954,1955,ACTOR,Dan O'Herlihy,Adventures of Robinson Crusoe,False,,,,,
1955,1956,ACTOR,Ernest Borgnine,Marty,True,,1954.0,42.0,Blanca,Reino Unido
1955,1956,ACTOR,James Cagney,Love Me or Leave Me,False,,1942.0,42.0,Blanca,Hungría
1955,1956,ACTOR,James Dean,East of Eden,False,,,,,
1955,1956,ACTOR,Frank Sinatra,The Man with the Golden Arm,False,,,,,
1955,1956,ACTOR,Spencer Tracy,Bad Day at Black Rock,False,,1937.0,36.0,Blanca,Estados Unidos
1955,1956,ACTOR,Spencer Tracy,Bad Day at Black Rock,False,,1938.0,37.0,Blanca,Estados Unidos
1956,1957,ACTOR,Yul Brynner,The King and I,True,,1955.0,39.0,Blanca,Reino Unido
1956,1957,ACTOR,James Dean,Giant,False,,,,,
1956,1957,ACTOR,Kirk Douglas,Lust for Life,False,,,,,
1956,1957,ACTOR,Rock Hudson,Giant,False,,,,,
1956,1957,ACTOR,Sir Laurence Olivier,Richard III,False,,,,,
1957,1958,ACTOR,Marlon Brando,Sayonara,False,,1953.0,30.0,Blanca,Rusia
1957,1958,ACTOR,Marlon Brando,Sayonara,False,,1071.0,48.0,Blanca,Estados Unidos
1957,1958,ACTOR,Anthony Franciosa,A Hatful of Rain,False,,,,,
1957,1958,ACTOR,Alec Guinness,The Bridge on the River Kwai,True,,1956.0,53.0,Blanca,Estados Unidos
1957,1958,ACTOR,Charles Laughton,Witness for the Prosecution,False,,1933.0,34.0,Blanca,Reino Unido
1957,1958,ACTOR,Anthony Quinn,Wild Is the Wind,False,,,,,
1958,1959,ACTOR,Tony Curtis,The Defiant Ones,False,,,,,
1958,1959,ACTOR,Paul Newman,Cat on a Hot Tin Roof,False,,1985.0,35.0,Blanca,Estados Unidos
