name,edad,raza,nacionalidad,winner,film,year_ceremony
Robert Duvall,47.0,Blanca,Estados Unidos,False,The Great Santini,1981
John Hurt,,,,False,The Elephant Man,1981
Jack Lemmon,48.0,Blanca,Australia,False,Tribute,1981
Peter O'Toole,,,,False,The Stunt Man,1981
Warren Beatty,,,,False,Reds,1982
Henry Fonda,76.0,Blanca,Reino Unido,True,On Golden Pond,1982
Burt Lancaster,46.0,Blanca,Estados Unidos,False,Atlantic City,1982
Dudley Moore,,,,False,Arthur,1982
Paul Newman,35.0,Blanca,Estados Unidos,False,Absence of Malice,1982
Dustin Hoffman,37.0,Blanca,Estados Unidos,False,Tootsie,1983
Dustin Hoffman,43.0,Blanca,Reino Unido,False,Tootsie,1983
Ben Kingsley,45.0,Blanca,Estados Unidos,True,Gandhi,1983
Jack Lemmon,48.0,Blanca,Australia,False,Missing,1983
Paul Newman,35.0,Blanca,Estados Unidos,False,The Verdict,1983
Peter O'Toole,,,,False,My Favorite Year,1983
Michael Caine,,,,False,Educating Rita,1984
Tom Conti,,,,False,"Reuben, Reuben",1984
Tom Courtenay,,,,False,The Dresser,1984
Robert Duvall,47.0,Blanca,Estados Unidos,True,Tender Mercies,1984
Albert Finney,,,,False,The Dresser,1984
F. Murray Abraham,46.0,Blanca,Estados Unidos,True,Amadeus,1985
Jeff Bridges,41.0,Blanca,Reino Unido,False,Starman,1985
Albert Finney,,,,False,Under the Volcano,1985
Tom Hulce,,,,False,Amadeus,1985
Sam Waterston,,,,False,The Killing Fields,1985
Harrison Ford,,,,False,Witness,1986
James Garner,,,,False,Murphy's Romance,1986
William Hurt,45.0,Blanca,Estados Unidos,True,Kiss of the Spider Woman,1986
Jack Nicholson,38.0,Blanca,Estados Unidos,False,Prizzi's Honor,1986
Jack Nicholson,38.0,Blanca,Estados Unidos,False,Prizzi's Honor,1986
Jon Voight,39.0,Blanca,Estados Unidos,False,Runaway Train,1986
Dexter Gordon,,,,False,'Round Midnight,1987
Bob Hoskins,,,,False,Mona Lisa,1987
William Hurt,45.0,Blanca,Estados Unidos,False,Children of a Lesser God,1987
Paul Newman,35.0,Blanca,Estados Unidos,True,The Color of Money,1987
James Woods,,,,False,Salvador,1987
Michael Douglas,61.0,Blanca,Estados Unidos,True,Wall Street,1988
William Hurt,45.0,Blanca,Estados Unidos,False,Broadcast News,1988
Marcello Mastroianni,,,,False,Dark Eyes,1988
Jack Nicholson,38.0,Blanca,Estados Unidos,False,Ironweed,1988
Jack Nicholson,38.0,Blanca,Estados Unidos,False,Ironweed,1988
Robin Williams,,,,False,"Good Morning, Vietnam",1988
Gene Hackman,41.0,Blanca,Reino Unido,False,Mississippi Burning,1989
Tom Hanks,55.0,Blanca,Nueva Zelanda,False,Big,1989
Tom Hanks,63.0,Blanca,Estados Unidos,False,Big,1989
Dustin Hoffman,37.0,Blanca,Estados Unidos,True,Rain Man,1989
Dustin Hoffman,43.0,Blanca,Reino Unido,True,Rain Man,1989
Edward James Olmos,,,,False,Stand and Deliver,1989
Max von Sydow,,,,False,Pelle the Conqueror,1989
Kenneth Branagh,,,,False,Henry V,1990
Tom Cruise,,,,False,Born on the Fourth of July,1990
Daniel Day Lewis,,,,True,My Left Foot,1990
Morgan Freeman,,,,False,Driving Miss Daisy,1990
Robin Williams,,,,False,Dead Poets Society,1990
Kevin Costner,,,,False,Dances With Wolves,1991
Robert De Niro,36.0,Blanca,Reino Unido,False,Awakenings,1991
Gerard Depardieu,,,,False,Cyrano de Bergerac,1991
Richard Harris,,,,False,The Field,1991
Jeremy Irons,48.0,Blanca,Estados Unidos,True,Reversal of Fortune,1991
Warren Beatty,,,,False,Bugsy,1992
Robert De Niro,36.0,Blanca,Reino Unido,False,Cape Fear,1992
Anthony Hopkins,45.0,Blanca,Estados Unidos,True,The Silence of the Lambs,1992
Anthony Hopkins,62.0,Blanca,Estados Unidos,True,The Silence of the Lambs,1992
Nick Nolte,,,,False,The Prince of Tides,1992
Robin Williams,,,,False,The Fisher King,1992
Robert Downey Jr.,,,,False,Chaplin,1993
Clint Eastwood,,,,False,Unforgiven,1993
Al Pacino,47.0,Afroamericana,Estados Unidos,True,Scent of a Woman,1993
Stephen Rea,,,,False,The Crying Game,1993
Denzel Washington,30.0,Blanca,Estados Unidos,False,Malcolm X,1993
Daniel Day-Lewis,51.0,Blanca,Reino Unido,False,In the Name of the Father,1994
Daniel Day-Lewis,47.0,Blanca,Estados Unidos,False,In the Name of the Father,1994
Daniel Day-Lewis,50.0,Afroamericana,Estados Unidos,False,In the Name of the Father,1994
Laurence Fishburne,,,,False,What's Love Got to Do with It,1994
Tom Hanks,55.0,Blanca,Nueva Zelanda,True,Philadelphia,1994
Tom Hanks,63.0,Blanca,Estados Unidos,True,Philadelphia,1994
Anthony Hopkins,45.0,Blanca,Estados Unidos,False,The Remains of the Day,1994
Anthony Hopkins,62.0,Blanca,Estados Unidos,False,The Remains of the Day,1994
Liam Neeson,,,,False,Schindler's List,1994
Morgan Freeman,,,,False,The Shawshank Redemption,1995
Tom Hanks,55.0,Blanca,Nueva Zelanda,True,Forrest Gump,1995
Tom Hanks,63.0,Blanca,Estados Unidos,True,Forrest Gump,1995
Nigel Hawthorne,,,,False,The Madness of King George,1995
Paul Newman,35.0,Blanca,Estados Unidos,False,Nobody's Fool,1995
John Travolta,,,,False,Pulp Fiction,1995
Nicolas Cage,39.0,Afroamericana,Estados Unidos,True,Leaving Las Vegas,1996
Richard Dreyfuss,41.0,Blanca,Estados Unidos,False,Mr. Holland's Opus,1996
Anthony Hopkins,45.0,Blanca,Estados Unidos,False,Nixon,1996
Anthony Hopkins,62.0,Blanca,Estados Unidos,False,Nixon,1996
Sean Penn,37.0,Blanca,Francia,False,Dead Man Walking,1996
Sean Penn,39.0,Blanca,Reino Unido,False,Dead Man Walking,1996
Massimo Troisi,,,,False,The Postman (Il Postino),1996
Tom Cruise,,,,False,Jerry Maguire,1997
Ralph Fiennes,,,,False,The English Patient,1997
Woody Harrelson,,,,False,The People vs. Larry Flynt,1997
Geoffrey Rush,41.0,Blanca,Estados Unidos,True,Shine,1997
Billy Bob Thornton,,,,False,Sling Blade,1997
Matt Damon,,,,False,Good Will Hunting,1998
Robert Duvall,47.0,Blanca,Estados Unidos,False,The Apostle,1998
Peter Fonda,,,,False,Ulee's Gold,1998
Dustin Hoffman,37.0,Blanca,Estados Unidos,False,Wag the Dog,1998
Dustin Hoffman,43.0,Blanca,Reino Unido,False,Wag the Dog,1998
Jack Nicholson,38.0,Blanca,Estados Unidos,True,As Good as It Gets,1998
Jack Nicholson,38.0,Blanca,Estados Unidos,True,As Good as It Gets,1998
Roberto Benigni,37.0,Blanca,Estados Unidos,True,Life Is Beautiful,1999
Tom Hanks,55.0,Blanca,Nueva Zelanda,False,Saving Private Ryan,1999
Tom Hanks,63.0,Blanca,Estados Unidos,False,Saving Private Ryan,1999
Ian McKellen,,,,False,Gods and Monsters,1999
Nick Nolte,,,,False,Affliction,1999
Edward Norton,,,,False,American History X,1999
Russell Crowe,41.0,Blanca,Reino Unido,False,The Insider,2000
Richard Farnsworth,,,,False,The Straight Story,2000
Sean Penn,37.0,Blanca,Francia,False,Sweet and Lowdown,2000
Sean Penn,39.0,Blanca,Reino Unido,False,Sweet and Lowdown,2000
Kevin Spacey,44.0,Blanca,Estados Unidos,True,American Beauty,2000
Denzel Washington,30.0,Blanca,Estados Unidos,False,The Hurricane,2000
Javier Bardem,,,,False,Before Night Falls,2001
Russell Crowe,41.0,Blanca,Reino Unido,True,Gladiator,2001
Tom Hanks,55.0,Blanca,Nueva Zelanda,False,Cast Away,2001
Tom Hanks,63.0,Blanca,Estados Unidos,False,Cast Away,2001
Ed Harris,,,,False,Pollock,2001
Geoffrey Rush,41.0,Blanca,Estados Unidos,False,Quills,2001
Russell Crowe,41.0,Blanca,Reino Unido,False,A Beautiful Mind,2002
Sean Penn,37.0,Blanca,Francia,False,I Am Sam,2002
Sean Penn,39.0,Blanca,Reino Unido,False,I Am Sam,2002
Will Smith,45.0,Afroamericano,Estados Unidos,False,Ali,2002
Denzel Washington,30.0,Blanca,Estados Unidos,True,Training Day,2002
Tom Wilkinson,,,,False,In the Bedroom,2002
Adrien Brody,43.0,Blanca,Reino Unido,True,The Pianist,2003
Nicolas Cage,39.0,Afroamericana,Estados Unidos,False,Adaptation,2003
Michael Caine,,,,False,The Quiet American,2003
Daniel Day-Lewis,51.0,Blanca,Reino Unido,False,Gangs of New York,2003
Daniel Day-Lewis,47.0,Blanca,Estados Unidos,False,Gangs of New York,2003
Daniel Day-Lewis,50.0,Afroamericana,Estados Unidos,False,Gangs of New York,2003
Jack Nicholson,38.0,Blanca,Estados Unidos,False,About Schmidt,2003
